Year,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA/90,npxG/90,npxG+xA/90
2020,Atlanta,27,25.6,54.8,23,253,2070,23.0,23,17,20,3,4,49,3,1.00,0.74,1.74,0.87,1.61,21.6,18.5,13.8,32.4,0.94,0.60,1.54,0.81,1.41
2020,Chicago,25,26.7,51.0,23,253,2070,23.0,33,26,31,2,4,40,1,1.43,1.13,2.57,1.35,2.48,38.9,35.9,25.7,61.6,1.69,1.12,2.81,1.56,2.68
2020,Colorado,22,25.8,52.0,18,198,1620,18.0,30,26,30,0,0,30,2,1.67,1.44,3.11,1.67,3.11,25.8,25.8,20.3,46.1,1.43,1.13,2.56,1.43,2.56
2020,Columbus,26,27.4,52.2,23,253,2070,23.0,34,26,33,1,4,45,0,1.48,1.13,2.61,1.43,2.57,30.8,27.7,23.1,50.7,1.34,1.00,2.34,1.20,2.21
2020,D.C. United,26,26.6,46.0,23,253,2070,23.0,24,12,20,4,4,44,3,1.04,0.52,1.57,0.87,1.39,21.8,18.9,13.1,32.0,0.95,0.57,1.52,0.82,1.39
2020,FC Cincinnati,30,27.5,49.3,23,253,2070,23.0,11,5,10,1,2,40,0,0.48,0.22,0.70,0.43,0.65,22.3,20.8,13.8,34.6,0.97,0.60,1.57,0.90,1.50
2020,FC Dallas,27,27.0,51.4,22,242,1980,22.0,28,18,25,3,3,41,1,1.27,0.82,2.09,1.14,1.95,31.8,29.5,22.5,52.0,1.45,1.02,2.47,1.34,2.36
2020,Houston,26,27.7,48.5,23,253,2070,23.0,30,20,28,2,4,55,3,1.30,0.87,2.17,1.22,2.09,36.1,33.2,23.5,56.7,1.57,1.02,2.59,1.44,2.47
2020,LA Galaxy,25,27.2,45.0,22,242,1980,22.0,26,17,23,3,4,42,4,1.18,0.77,1.95,1.05,1.82,26.6,23.6,19.0,42.6,1.21,0.86,2.07,1.07,1.93
2020,Los Angeles FC,28,24.8,58.6,22,242,1980,22.0,45,32,43,2,2,36,1,2.05,1.45,3.50,1.95,3.41,41.6,40.1,29.5,69.6,1.89,1.34,3.23,1.82,3.16
2020,Miami,28,26.8,47.1,23,253,2070,23.0,24,18,23,1,2,57,4,1.04,0.78,1.83,1.00,1.78,28.8,27.3,20.1,47.4,1.25,0.87,2.13,1.19,2.06
2020,Minnesota,28,27.5,47.3,21,231,1890,21.0,33,27,31,2,3,40,2,1.57,1.29,2.86,1.48,2.76,29.9,27.5,21.3,48.8,1.42,1.01,2.44,1.31,2.32
2020,Montreal,26,26.2,48.0,23,253,2070,23.0,33,21,29,4,4,32,5,1.43,0.91,2.35,1.26,2.17,27.6,24.6,19.0,43.6,1.20,0.83,2.03,1.07,1.90
2020,Nashville,26,26.9,44.5,23,253,2070,23.0,24,20,24,0,1,34,1,1.04,0.87,1.91,1.04,1.91,23.9,23.2,18.1,41.3,1.04,0.79,1.83,1.01,1.80
2020,New England,25,26.6,51.2,23,253,2070,23.0,25,17,24,1,3,36,2,1.09,0.74,1.83,1.04,1.78,33.0,30.7,25.0,55.7,1.44,1.09,2.52,1.33,2.42
2020,NY Red Bulls,27,25.0,45.7,23,253,2070,23.0,29,21,28,1,1,30,1,1.26,0.91,2.17,1.22,2.13,28.1,27.3,21.9,49.2,1.22,0.95,2.17,1.19,2.14
2020,NYCFC,22,26.7,56.0,23,253,2070,23.0,36,26,33,3,3,50,1,1.57,1.13,2.70,1.43,2.57,37.9,35.7,27.4,63.1,1.65,1.19,2.84,1.55,2.74
2020,Orlando City,28,26.2,50.3,23,253,2070,23.0,39,30,38,1,1,48,2,1.70,1.30,3.00,1.65,2.96,32.0,31.2,24.1,55.3,1.39,1.05,2.44,1.36,2.40
2020,Philadelphia,23,25.8,47.9,23,253,2070,23.0,43,30,41,2,2,55,0,1.87,1.30,3.17,1.78,3.09,35.5,34.0,27.1,61.0,1.54,1.18,2.72,1.48,2.65
2020,Portland,27,27.9,46.5,23,253,2070,23.0,46,34,43,3,3,45,1,2.00,1.48,3.48,1.87,3.35,31.5,29.3,22.2,51.5,1.37,0.97,2.34,1.27,2.24
2020,Real Salt Lake,26,27.0,52.3,22,242,1980,22.0,23,14,21,2,3,49,2,1.05,0.64,1.68,0.95,1.59,26.3,24.0,16.0,40.0,1.20,0.73,1.92,1.09,1.82
2020,San Jose,27,27.3,55.7,23,253,2070,23.0,34,23,30,4,5,38,1,1.48,1.00,2.48,1.30,2.30,32.2,28.4,20.3,48.7,1.40,0.88,2.28,1.24,2.12
2020,Seattle,27,27.9,54.5,22,242,1980,22.0,42,30,37,5,5,32,0,1.91,1.36,3.27,1.68,3.05,41.8,38.1,29.3,67.5,1.90,1.33,3.23,1.73,3.07
2020,Sporting KC,23,27.9,49.7,21,231,1890,21.0,37,24,36,1,1,45,2,1.76,1.14,2.90,1.71,2.86,33.1,32.4,22.1,54.5,1.58,1.05,2.63,1.54,2.59
2020,Toronto FC,29,28.0,54.5,23,253,2070,23.0,33,22,28,5,6,35,0,1.43,0.96,2.39,1.22,2.17,35.9,31.5,23.1,54.6,1.56,1.01,2.57,1.37,2.37
2020,Vancouver,27,25.5,41.8,23,253,2070,23.0,24,18,22,2,4,45,4,1.04,0.78,1.83,0.96,1.74,23.8,20.9,16.4,37.3,1.04,0.71,1.75,0.91,1.62
