Rk,Squad,HomeMP,HomeW,HomeD,HomeL,HomeGF,HomeGA,HomeGD,HomePts,HomePts/G,HomexG,HomexGA,HomexGD,HomexGD/90,AwayMP,AwayW,AwayD,AwayL,AwayGF,AwayGA,AwayGD,AwayPts,AwayPts/G,AwayxG,AwayxGA,AwayxGD,AwayxGD/90
1,Sporting KC,11,6,1,4,22,16,+6,19,1.73,22.5,12.0,+10.5,+0.95,10,6,2,2,16,9,+7,20,2.00,10.6,13.8,-3.2,-0.32
2,Seattle,12,8,3,1,30,10,+20,27,2.25,27.8,11.5,+16.4,+1.37,10,3,3,4,14,13,+1,12,1.20,14.0,9.5,+4.5,+0.45
3,Portland,12,6,2,4,21,18,+3,20,1.67,15.7,17.7,-1.9,-0.16,11,5,4,2,25,17,+8,19,1.73,15.8,17.6,-1.8,-0.16
4,Minnesota,9,5,3,1,19,9,+10,18,2.00,15.3,14.9,+0.4,+0.04,12,4,4,4,17,17,0,16,1.33,14.6,21.4,-6.8,-0.57
5,FC Dallas,12,7,4,1,21,9,+12,25,2.08,18.4,12.9,+5.4,+0.45,10,2,3,5,7,15,-8,9,0.90,13.4,17.6,-4.2,-0.42
6,Los Angeles FC,14,8,4,2,39,20,+19,28,2.00,30.1,17.0,+13.1,+0.94,8,1,1,6,8,19,-11,4,0.50,11.5,12.1,-0.6,-0.08
7,San Jose,11,4,5,2,17,18,-1,17,1.55,17.7,15.0,+2.7,+0.25,12,4,1,7,18,33,-15,13,1.08,14.5,22.0,-7.5,-0.62
8,Colorado,7,3,3,1,15,10,+5,12,1.71,11.2,6.7,+4.5,+0.64,11,5,1,5,17,18,-1,16,1.45,14.6,16.1,-1.6,-0.14
9,Vancouver,11,6,0,5,21,20,+1,18,1.64,13.6,14.4,-0.8,-0.07,12,3,0,9,6,24,-18,9,0.75,10.2,23.5,-13.3,-1.11
10,LA Galaxy,12,4,2,6,16,23,-7,14,1.17,16.7,18.5,-1.9,-0.16,10,2,2,6,11,23,-12,8,0.80,10.0,17.0,-7.0,-0.70
11,Real Salt Lake,13,4,4,5,14,18,-4,16,1.23,17.9,15.6,+2.3,+0.18,9,1,3,5,11,17,-6,6,0.67,8.4,13.1,-4.7,-0.52
12,Houston,10,3,4,3,14,12,+2,13,1.30,18.2,11.5,+6.7,+0.67,13,1,5,7,16,28,-12,8,0.62,17.9,26.2,-8.3,-0.64
