Squad,# Pl,MP,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,AerialDualsWon,AerialDualsLost,AerialDualsWon%
Atlanta,24,34.0,56,1,0,358,407,56,412,264,378,8,4,2,3015,408,338,54.7
Chicago,26,34.0,62,3,0,412,350,69,450,314,357,2,4,0,2832,397,406,49.4
Colorado,24,34.0,70,8,2,410,355,50,425,310,360,6,8,7,2738,463,460,50.2
Columbus,33,34.0,57,1,0,403,357,56,397,285,375,5,5,0,2878,427,453,48.5
D.C. United,26,34.0,49,5,0,395,391,52,362,271,397,2,5,1,2879,530,470,53.0
FC Cincinnati,30,34.0,57,4,1,376,392,71,321,309,357,3,7,1,2804,522,475,52.4
FC Dallas,27,34.0,67,1,0,436,400,54,396,280,408,4,8,0,2623,330,342,49.1
Houston,26,34.0,66,4,1,420,403,70,379,218,367,5,6,0,2634,322,439,42.3
LA Galaxy,26,34.0,70,3,0,390,293,86,555,285,376,7,8,3,2703,535,361,59.7
Los Angeles FC,28,34.0,53,1,1,407,433,79,348,323,430,8,3,4,3266,367,312,54.1
Minnesota,26,34.0,55,4,2,396,322,52,413,296,413,4,4,0,3026,404,479,45.8
Montreal,29,34.0,55,3,0,388,391,50,378,282,388,6,7,1,2992,420,424,49.8
New England,23,34.0,68,6,4,443,419,58,385,265,376,4,4,0,3245,488,501,49.3
NY Red Bulls,28,34.0,52,5,2,408,434,70,442,329,468,5,6,2,3794,713,704,50.3
NYCFC,25,34.0,79,1,0,470,415,69,348,289,421,6,10,3,3093,436,462,48.6
Orlando City,27,34.0,61,3,0,381,331,56,368,235,362,3,1,2,2850,416,416,50.0
Philadelphia,28,34.0,58,3,1,394,333,82,454,300,443,4,6,1,2983,460,474,49.3
Portland,27,34.0,75,6,2,463,317,55,567,287,367,2,6,1,2982,436,411,51.5
Real Salt Lake,25,34.0,65,5,1,386,397,88,326,284,323,4,4,1,2745,456,391,53.8
San Jose,25,34.0,72,5,2,431,419,80,507,338,391,0,6,2,2805,300,363,45.2
Seattle,29,34.0,53,4,2,349,415,57,436,255,357,3,5,2,2884,393,434,47.5
Sporting KC,29,34.0,74,7,2,422,400,50,410,227,337,8,4,0,2805,408,435,48.4
Toronto FC,29,34.0,50,3,2,337,366,64,429,228,326,5,11,2,2812,355,369,49.0
Vancouver,26,34.0,61,1,0,363,380,44,347,303,318,5,8,4,2589,384,451,46.0
